Epsilon,Reconstr_Error_Avg+-Reconstr_Error_Std,NB_PERFECT_AVG+-NB_PERFECT_STD,WORST_AVG+-WORST_STD,INLIERS_ERR_AVG+-INLIERS_ERR_STD,OUTLIERS_ERR_AVG+-OUTLIERS_ERR_STD,INLIERS_PROP_PERFECT_AVG+-INLIERS_PROP_PERFECT_STD,OUTLIERS_PROP_PERFECT_AVG+-OUTLIERS_PROP_PERFECT_STD,OUTLIERS_PROP_AVG+-OUTLIERS_PROP_STD
30,$0.117 \pm 0.002$,$10.0 \pm 2.6$,$0.343 \pm 0.036$,$0.078 \pm 0.005$,$0.154 \pm 0.008$,$18.8 \pm 6.0$,$1.6 \pm 1.5$,$0.510 \pm 0.000$
20,$0.119 \pm 0.005$,$10.8 \pm 3.1$,$0.362 \pm 0.049$,$0.084 \pm 0.007$,$0.152 \pm 0.004$,$19.6 \pm 6.3$,$2.4 \pm 1.5$,$0.510 \pm 0.000$
10,$0.141 \pm 0.015$,$7.8 \pm 3.8$,$0.410 \pm 0.049$,$0.105 \pm 0.015$,$0.175 \pm 0.015$,$13.1 \pm 6.3$,$2.7 \pm 2.0$,$0.510 \pm 0.000$
5,$0.160 \pm 0.020$,$4.6 \pm 2.0$,$0.419 \pm 0.056$,$0.130 \pm 0.026$,$0.189 \pm 0.015$,$8.6 \pm 4.4$,$0.8 \pm 1.0$,$0.510 \pm 0.000$
1,$0.239 \pm 0.022$,$0.2 \pm 0.4$,$0.457 \pm 0.038$,$0.241 \pm 0.026$,$0.238 \pm 0.020$,$0.0 \pm 0.0$,$0.4 \pm 0.8$,$0.510 \pm 0.000$
0.1,$0.312 \pm 0.035$,$0.0 \pm 0.0$,$0.476 \pm 0.052$,$0.323 \pm 0.043$,$0.301 \pm 0.026$,$0.0 \pm 0.0$,$0.0 \pm 0.0$,$0.510 \pm 0.000$
