,Reconstr. Error,,Time to first sol (s),RF Error,
#examples,Avg,Std,,Train,Test
25,0.212,0.023,20.007,0.920,0.772
50,0.174,0.010,25.675,0.876,0.780
100,0.152,0.013,45.286,0.856,0.782
200,0.130,0.009,397.136,0.828,0.782
300,0.124,0.006,452.678,0.827,0.782
400,0.117,0.006,2704.788,0.828,0.786
500,0.112,0.006,1429.236,0.814,0.789
best_fct_fit=,-156.52+1.1636*x**1.21
